17;43;04;739
17;43;38;739
17;44;11;739
17;46;46;739
17;50;24;739
17;51;28;739
17;53;02;739
17;54;36;739
17;55;40;739
17;56;14;739
17;57;18;739
17;57;51;739
17;58;25;739
17;59;29;739
18;00;02;739
18;01;36;739
18;05;11;739
18;06;45;739
18;07;49;739
18;08;23;739
18;08;56;739
18;09;30;739
18;10;04;739
18;10;37;739
18;11;11;739
18;11;45;739
18;12;18;739
18;12;52;739
18;13;25;739
18;13;59;739
18;14;33;739
18;15;06;739
18;15;40;739
18;16;14;739
18;18;18;739
18;18;52;739
18;20;56;739
18;22;30;739
18;23;04;739
