17;43;04;25.94
17;43;38;25.95
17;44;11;25.96
17;46;46;25.97
17;49;20;25.96
17;50;24;25.95
17;51;28;25.97
17;53;02;25.98
17;54;36;25.96
17;55;40;25.97
17;56;14;25.98
17;57;17;26.01
17;57;51;26.03
17;58;25;26.04
17;59;29;26.05
18;00;02;26.08
18;01;36;26.07
18;05;11;26.08
18;06;45;26.09
18;07;49;26.13
18;08;23;26.14
18;08;56;26.16
18;09;30;26.19
18;10;04;26.23
18;10;37;26.27
18;11;11;26.29
18;11;45;26.32
18;12;18;26.34
18;12;52;26.37
18;13;25;26.39
18;13;59;26.40
18;14;33;26.42
18;15;06;26.43
18;15;40;26.45
18;16;14;26.49
18;18;18;26.51
18;18;52;26.52
18;20;56;26.51
18;22;30;26.49
18;23;03;26.48
18;24;38;26.49
18;26;42;26.48
18;27;15;26.46
18;28;19;26.45
18;28;53;26.44
